,algorithm,n_neighbors,p,weights,acc_train,acc_val,precision_macro_train,precision_macro_val,precision_micro_train,precision_micro_val,precision_weighted_train,precision_weighted_val,recall_macro_train,recall_macro_val,recall_micro_train,recall_micro_val,recall_weighted_train,recall_weighted_val,f1_macro_train,f1_macro_val,f1_micro_train,f1_micro_val,f1_weighted_train,f1_weighted_val
55,brute,3,1,distance,0.7946874446608819,0.735827664399093,0.794378903582761,0.7355902601882541,0.7946874446608819,0.735827664399093,0.794857465898336,0.7358369743681454,0.7946446838096557,0.7356060223481908,0.7946874446608819,0.735827664399093,0.7946874446608819,0.735827664399093,0.794473015946447,0.7355979044011692,0.7946874446608819,0.735827664399093,0.7947337631441534,0.7358320828605915
56,kd_tree,5,2,uniform,0.7703559412077209,0.7247732426303855,0.770170273496615,0.7246557241304592,0.7703559412077209,0.7247732426303855,0.7702888143668606,0.7247167876647346,0.7695636391013752,0.7241068909870316,0.7703559412077209,0.7247732426303855,0.7703559412077209,0.7247732426303855,0.7697711592798411,0.7242409677270565,0.7703559412077209,0.7247732426303855,0.7702269028905359,0.7246049750803009
57,kd_tree,10,2,uniform,0.7660350628652381,0.7312925170068028,0.7659340844992628,0.7311814893984228,0.7660350628652381,0.7312925170068028,0.766647364804146,0.7315737869480319,0.7663367455167617,0.7313736395050705,0.7660350628652381,0.7312925170068028,0.7660350628652381,0.7312925170068028,0.765917410422342,0.7311926546516039,0.7660350628652381,0.7312925170068028,0.7661235345284587,0.7313483224405903
58,kd_tree,10,2,distance,0.8129626350274483,0.7457482993197279,0.8134141453989798,0.7459739162744294,0.8129626350274483,0.7457482993197279,0.8144056800564621,0.7465174480289376,0.8137979887227673,0.7461578693596775,0.8129626350274483,0.7457482993197279,0.8129626350274483,0.7457482993197279,0.8129412348997572,0.745728667360929,0.8129626350274483,0.7457482993197279,0.8130198201368742,0.7457957959942413
59,ball_tree,3,1,distance,0.7931290950947406,0.7301587301587301,0.7928319645167266,0.7299511874568192,0.7931290950947406,0.7301587301587301,0.7933381362694417,0.7302654664054272,0.793128510165132,0.7300683492195117,0.7931290950947406,0.7301587301587301,0.7931290950947406,0.7301587301587301,0.7929279491668448,0.7299907388351512,0.7931290950947406,0.7301587301587301,0.7931814387509771,0.7301930920203713
60,brute,5,1,uniform,0.7754914113688685,0.7346938775510204,0.7754736306608956,0.7349200946121687,0.7754914113688685,0.7346938775510204,0.7754835545688684,0.7348312834696439,0.7745328888869591,0.7337551992079481,0.7754914113688685,0.7346938775510204,0.7754914113688685,0.7346938775510204,0.7748145391722501,0.7339383665392574,0.7754914113688685,0.7346938775510204,0.7752994560107835,0.7343643461522728
61,auto,5,2,distance,0.8060563130865946,0.7463151927437641,0.8059764286155178,0.7461678961440583,0.8060563130865946,0.7463151927437641,0.8060288808821987,0.746258671955505,0.8053526096078473,0.7458046883016334,0.8060563130865946,0.7463151927437641,0.8060563130865946,0.7463151927437641,0.8055790003572476,0.7459207884988271,0.8060563130865946,0.7463151927437641,0.8059573704908043,0.7462215572035993
62,auto,3,3,uniform,0.7725872144501506,0.7154195011337868,0.7722857901988871,0.7152442697919309,0.7725872144501506,0.7154195011337868,0.7725226998336504,0.715340014751914,0.7720254582978854,0.7147873177764261,0.7725872144501506,0.7154195011337868,0.7725872144501506,0.7154195011337868,0.7721334336524577,0.7149041345159206,0.7725872144501506,0.7154195011337868,0.7725328327831253,0.7152683269258794
63,kd_tree,5,3,distance,0.8037542057729768,0.7397959183673469,0.8034660246080632,0.7395761756776094,0.8037542057729768,0.7397959183673469,0.8039693205322983,0.7398602333009289,0.8037811836897338,0.7396631012963804,0.8037542057729768,0.7397959183673469,0.8037542057729768,0.7397959183673469,0.8035668478032392,0.739611067677723,0.8037542057729768,0.7397959183673469,0.8038051276064948,0.7398195163277244
64,ball_tree,10,3,distance,0.8129626350274483,0.7454648526077098,0.8134141453989798,0.745655160887529,0.8129626350274483,0.7454648526077098,0.8144056800564621,0.7461860208259722,0.8137979887227673,0.7458485946899968,0.8129626350274483,0.7454648526077098,0.8129626350274483,0.7454648526077098,0.8129412348997572,0.7454412103591719,0.8129626350274483,0.7454648526077098,0.8130198201368742,0.74551491854579
65,brute,3,3,uniform,0.7725872144501506,0.7154195011337868,0.7722857901988871,0.7152442697919309,0.7725872144501506,0.7154195011337868,0.7725226998336504,0.715340014751914,0.7720254582978854,0.7147873177764261,0.7725872144501506,0.7154195011337868,0.7725872144501506,0.7154195011337868,0.7721334336524577,0.7149041345159206,0.7725872144501506,0.7154195011337868,0.7725328327831253,0.7152683269258794
66,kd_tree,5,1,uniform,0.7734726403400035,0.7304421768707483,0.77329094514755,0.7302570627838805,0.7734726403400035,0.7304421768707483,0.7734080282204326,0.7303711447211362,0.7726962997951882,0.7299173305430529,0.7734726403400035,0.7304421768707483,0.7734726403400035,0.7304421768707483,0.7729022790120383,0.7300230948183069,0.7734726403400035,0.7304421768707483,0.7733492971835672,0.7303426825705284
67,auto,5,1,distance,0.8060563130865946,0.7468820861678005,0.805741753467418,0.7466841770239252,0.8060563130865946,0.7468820861678005,0.8061469179478674,0.7469926824540838,0.8059294116852483,0.7468153393802992,0.8060563130865946,0.7468820861678005,0.8060563130865946,0.7468820861678005,0.8058199925902203,0.7467280692551741,0.8060563130865946,0.7468820861678005,0.8060860630780164,0.7469157220452706
68,auto,5,2,uniform,0.7728351336993093,0.7295918367346939,0.7728699618283953,0.7296609438775263,0.7728351336993093,0.7295918367346939,0.7728514013309632,0.7296311660029725,0.7718070246278304,0.7287508359100862,0.7728351336993093,0.7295918367346939,0.7728351336993093,0.7295918367346939,0.7721078982099767,0.7289171997505116,0.7728351336993093,0.7295918367346939,0.7726135434498952,0.7293235152068941
69,kd_tree,3,2,uniform,0.7723038781653976,0.7168367346938775,0.7719935209858053,0.7166064621516716,0.7723038781653976,0.7168367346938775,0.7722431120751221,0.7167552968435852,0.7717639760965247,0.7163336911248301,0.7723038781653976,0.7168367346938775,0.7723038781653976,0.7168367346938775,0.7718610199841859,0.7164215095249578,0.7723038781653976,0.7168367346938775,0.7722558187968577,0.7167475381761096
